Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
Op Telemarketing Receptivo Sac,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Barueri - SP,Presencial,"R$ 1.320,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-op-telemarketing-receptivo-sac-em-sao-paulo__9323880.aspx
Agente De Telemarketing Ativo,NACIONAL RH,"4,1",17 avaliações,São Paulo - SP,Presencial,"R$ 1.900,00 a R$ 1.996,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-agente-telemarketing-ativo-em-sao-paulo__9326136.aspx
Atendente De Loja De Shopping,Gvr,"3,6",13 avaliações,São Paulo - SP,Presencial,"R$ 1.836,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendente-loja-shopping-em-sao-paulo__9168199.aspx
Recepcionista De Concessionária,BRASILWAGEN,"4,4",210 avaliações,São Paulo - SP,Presencial,"R$ 2.400,00 a R$ 2.430,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-recepcionista-concessionaria-em-sao-paulo__9324695.aspx
Balconista De Frios,Hokim Suermercado Ltda,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-balconista-frios-em-sao-paulo__9326284.aspx
"Vigilante - Salto, SP",Gocil Segurança e Serviços,"4,4",10.395 avaliações,Salto - SP,Presencial,"R$ 1.950,00 a R$ 1.954,00 (Bruto mensal)","https://www.infojobs.com.br/vaga-de-vigilante-salto,-sp-em-sao-paulo__9324266.aspx"
Promotor De Vendas,ALLIS,"4,3",5.649 avaliações,Campinas - SP,Presencial,"R$ 1.550,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-vendas-em-sao-paulo__9325704.aspx
Porteiro | Jandira,NEOBPO,"4,0",9.025 avaliações,Jandira - SP,Presencial,"R$ 1.599,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-porteiro-jandira-em-sao-paulo__9325317.aspx
Auxiliar De Cozinha,Prompt Empregos,"3,9",391 avaliações,Guarulhos - SP,Presencial,"R$ 1.712,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-cozinha-em-sao-paulo__9323971.aspx
Representante Comercial - Itaquaquecetuba,Tallenty RH,Sem nota,Sem avaliações,Itaquaquecetuba - SP,Presencial,"R$ 2.500,00 a R$ 5.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-representante-comercial-itaquaquecetuba-em-sao-paulo__9325838.aspx
Técnico De Manutenção De Equipamentos Médicos,EHC ENGENHARIA CLINICA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-tecnico-manutencao-equipamentos-medicos-em-sao-paulo__9325379.aspx
Mecanico De Climatização,AR PRIME CLIMATIZAÇÃO E REFRIGERAÇÃO,Sem nota,Sem avaliações,Jundiaí - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-mecanico-climatizacao-em-sao-paulo__9324747.aspx
Auxiliar De Restaurante,ELIANE RESTAURANTE,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.550,00 a R$ 1.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-restaurante-em-sao-paulo__9326539.aspx
Op Telemarketing Vendas,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-op-telemarketing-vendas-em-sao-paulo__9325957.aspx
Meio Oficial De Cozinha,RESOLVE PRESTADORA DE SERVICOS,"4,2",1.640 avaliações,Mauá - SP,Presencial,"R$ 1.700,00 a R$ 1.884,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-meio-oficial-cozinha-em-sao-paulo__9324597.aspx
AUXILIAR DE COBRANÇA (SÃO PAULO/REPUBLICA),LIFE RECURSOS HUMANOS,"4,3","4,3",São Paulo - SP,Presencial,"R$ 1.320,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-cobranca-sao-paulorepublica-em-sao-paulo__9331817.aspx
Consultor De Negócios - Externo,MP,Sem nota,Sem avaliações,Tanabi - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-negocios-externo-em-sao-paulo__9325027.aspx
SP | Consultor De Vendas E Soluções De Tecnologia I - ESPANHOL,TELEPERFORMANCE,"4,4",37.557 avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-sp-consultor-vendas-solucoes-tecnologia-i-espanhol-em-sao-paulo__9326085.aspx
Zelador,MISSÃO FACILITY,Sem nota,Sem avaliações,Várzea Paulista - SP,Presencial,"R$ 2.030,00 a R$ 2.036,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-zelador-em-sao-paulo__9331744.aspx
Ajudante De Higiene Em São Paulo - SP,MANPOWER STAFFING. (Matriz),"4,4",3.890 avaliações,São Paulo - SP,Presencial,"R$ 1.878,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-higiene-sao-paulo-sp-em-sao-paulo__9324328.aspx
Atendente- SEM EXPERIÊNCIA.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 2.300,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendente-experiencia-em-sao-paulo__9326438.aspx
ZELADOR - SANTO AMARO,GB Serviços,"4,8",8 avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 a R$ 1.900,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-zelador-santo-amaro-em-sao-paulo__9326140.aspx
Aprendiz-Raposo Tavares,CARREFOUR,"4,3",41.516 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-aprendiz-raposo-tavares-em-sao-paulo__9324085.aspx
Assistente Contábil,GRUPO ABS,Sem nota,Sem avaliações,Poá - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-contabil-em-sao-paulo__9325565.aspx
Atendente Interno,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Bernardo do Campo - SP,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-atendente-interno-em-sao-paulo__9183613.aspx
PROOMOTOR DE VENDAS - MAIRIPORÃ - SP,ALLIS,"4,3",5.649 avaliações,Mairiporã - SP,Presencial,"R$ 881,00 a R$ 1.200,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-proomotor-vendas-mairipora-sp-em-sao-paulo__9324364.aspx
Assistente De Back Office,HALLER RECURSOS HUMANOS,"4,4",74 avaliações,São Paulo - SP,Presencial,"R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-back-office-em-sao-paulo__9325995.aspx
Vendas-Inicio Imediato-Sem Experiencia(C),Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendas-inicio-imediato-sem-experienciac-em-sao-paulo__9324997.aspx
Auxiliar De Sala De Aula,"São Paulo - SP, a 18,3 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
Conferente,EXCLUSIVA AGENCIAMENTO E TERCEIRIZACAO,"4,0",238 avaliações,Ipeúna - SP,Presencial,"R$ 1.622,00 a R$ 1.996,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-conferente-em-sao-paulo__9326275.aspx
Ajudante De Produção Industrial - Mooca,EXTRA CONSULT,"3,9",72 avaliações,São Paulo - SP,Presencial,"R$ 1.867,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-producao-industrial-mooca-em-sao-paulo__9324207.aspx
Operador De Máquinas Injetora,"São Paulo - SP, a 26,9 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
Operador(A) Caixa INTERMITENTE - Sorocaba 2 (Av. São Paulo),SUPERMERCADOS CONFIANÇA,"4,3",1.016 avaliações,Sorocaba - SP,Presencial,"R$ 9,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operadora-caixa-intermitente-sorocaba-2-av-sao-paulo-em-sao-paulo__9326533.aspx
Monitor De Libras,LBV - Legião da Boa Vontade,"4,0",3.207 avaliações,São Paulo - SP,Presencial,"R$ 2.617,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-monitor-libras-em-sao-paulo__9326378.aspx
Pessoa Auxiliar De Produção Extrusão- Vaga,METARH,"4,5",140 avaliações,Cotia - SP,PCD Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-pessoa-auxiliar-producao-extrusao-vaga-em-sao-paulo__9331749.aspx
Ajudante De Cozinha,Junji Temaki,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-ajudante-cozinha-em-sao-paulo__9325437.aspx
SUPERVISOR OPERACIONAL SEGMENTO BEBIDAS (DARK) FREGUESIA DO O,ALLIS,"4,3",5.649 avaliações,São Paulo - SP,Presencial,"R$ 2.340,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-supervisor-operacional-segmento-bebidas-dark-freguesia-do-em-sao-paulo__9325663.aspx
Estagiário Administrativo Contábil,Grupo GPS,"4,2",9.026 avaliações,São Paulo - SP,Presencial,"R$ 1.200,00 a R$ 1.201,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagiario-administrativo-contabil-em-sao-paulo__9325007.aspx
Carpinteiro - ABC Paulista (Com Alojamento),SWH,"4,4",9 avaliações,São Paulo - SP,Presencial,"R$ 2.405,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-carpinteiro-abc-paulista-com-alojamento-em-sao-paulo__9324000.aspx
Assistente De Facilities - TEMPORÁRIO,CBRE GWS DO BRASIL MANUNTENCAO E GERENCIAMENTO LTDA,"4,4",808 avaliações,Barueri - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-facilities-temporario-em-sao-paulo__9326325.aspx
Gerente De Loja - Grandvision - Outlet Catarina,LUXOTTICA.,"4,5",675 avaliações,São Roque - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-gerente-loja-grandvision-outlet-catarina-em-sao-paulo__9325321.aspx
Assistente De Faturamento,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 2.800,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-faturamento-em-sao-paulo__9324497.aspx
Montador De Andaimes - Zona Sul,Randstad - Matriz,"4,5",5.083 avaliações,São Paulo - SP,Presencial,"R$ 2.117,00 a R$ 2.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-montador-andaimes-zona-sul-em-sao-paulo__9324162.aspx
Assistente Em Vendas (Imediato).,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-vendas-imediato-em-sao-paulo__9325921.aspx
Auxiliar Administrativo,GENIALE PROMOÇÃO DE EVENTOS E MERCHANDISING,Sem nota,Sem avaliações,Guarulhos - SP,PCD Presencial,"R$ 1.537,00 a R$ 1.600,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-administrativo-em-sao-paulo__9324186.aspx
Ajudante De Cozinha,Greenjoy Jardins,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 1.650,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-cozinha-em-sao-paulo__9325999.aspx
Salgadeiro,RHF TALENTOS,"4,5",179 avaliações,Guarujá - SP,Presencial,"R$ 1.700,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-salgadeiro-em-sao-paulo__9326551.aspx
ASSIST TECNICO INFRAESTRUTURA PLENO,DESAFIO Rh,"4,4",202 avaliações,São Paulo - SP,Presencial,"R$ 2.353,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assist-tecnico-infraestrutura-pleno-em-sao-paulo__9324023.aspx
Título não encontrado,Nome da empresa não encontrado,Sem nota,Sem avaliações,Localização não encontrada,Modelo de trabalho não encontrado,Salário não encontrado,Link não encontrado
ANALISTA DE MANUTENÇÃO INDUSTRIAL,VCRH,Sem nota,Sem avaliações,Embu-Guaçu - SP,Presencial,"R$ 3.500,00 a R$ 4.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-manutencao-industrial-em-sao-paulo__9325260.aspx
Consultor De Vendas,FACTA INTERMEDIACAO DE NEGOCIOS,Sem nota,Sem avaliações,São Caetano do Sul - SP,Presencial,"R$ 1.837,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-vendas-em-sao-paulo__9324354.aspx
Pessoa Preparador De Setup,METARH,"4,5",140 avaliações,Cotia - SP,PCD Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-pessoa-preparador-setup-em-sao-paulo__9331758.aspx
Alimentador De Linha De Produção,CAS TELECOMUNICACOES,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-alimentador-linha-producao-em-sao-paulo__9326444.aspx
Operador De Maquina,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Santana de Parnaíba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-maquina-em-sao-paulo__9285814.aspx
Assistente Administrativo De Atendimento - Pleno,"São Paulo - SP, a 10,5 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,"R$ 2.000,00 a R$ 2.300,00 (Bruto mensal)",Link não encontrado
OFICIAL DE MANUTENÇÃO PREDIAL CIVIL IB,"IMC SASTE-CONSTRUCOES, SERVICOS E COMERCIO","4,4",1.068 avaliações,Osasco - SP,Presencial,"R$ 2.102,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-oficial-manutencao-predial-civil-ib-em-sao-paulo__9326483.aspx
AJUDANTE DE SERVIÇOS GERAIS LIMPEZA URGENTE LOUVEIRA INÍCIO IMEDIATO!,TALENT,"4,5",15 avaliações,Louveira - SP,Presencial,"R$ 1.482,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-servicos-gerais-limpeza-urgente-louveira-em-sao-paulo__9324009.aspx
Supervisor De Relacionamento,ASSOCIACAO PROTETORA DE VEICULOS AUTOMOTORES - PROAUTO,Sem nota,Sem avaliações,Campinas - SP,Presencial,"R$ 4.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-supervisor-relacionamento-em-sao-paulo__9326208.aspx
Consultor De Negócios - Externo,MP,Sem nota,Sem avaliações,Mirassol - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-negocios-externo-em-sao-paulo__9325024.aspx
CONTROLADOR DE ACESSO - PAULISTA,GB Serviços,"4,8",8 avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 1.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-controlador-acesso-paulista-em-sao-paulo__9326156.aspx
Assistente De Cozinha - Brooklin,EATOPIA,"4,5",24 avaliações,São Paulo - SP,Presencial,"R$ 2.060,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-cozinha-brooklin-em-sao-paulo__9150340.aspx
Ajudante Geral,FOCO GESTÃO DE SERVIÇOS INTEGRADOS,"3,9",42 avaliações,Jaguariúna - SP,Presencial,"R$ 1.550,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-geral-em-sao-paulo__9325156.aspx
Recepcionista - Pinheiros SP,GRUPO MAVE,"4,2",188 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-recepcionista-pinheiros-sp-em-sao-paulo__9324446.aspx
Assistente Administrativo De Locação,OMA CONDOMINIO LOCACAO E VENDA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-administrativo-locacao-em-sao-paulo__9325814.aspx
ANALISTA FISCAL PLENO,GRUPO ABS,Sem nota,Sem avaliações,Bauru - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-analista-fiscal-pleno-em-sao-paulo__9325902.aspx
CONTROLADOR DE ACESSO /PORTEIRO,FUTURA PORTARIA INTELIGENTE,"4,1",47 avaliações,São Paulo - SP,Presencial,"R$ 1.871,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-controlador-acesso-porteiro-em-sao-paulo__9325645.aspx
Dobrador,Integrarh,Sem nota,Sem avaliações,Santa Bárbara D'Oeste - SP,Presencial,"R$ 3.000,00 a R$ 3.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-dobrador-em-sao-paulo__9324925.aspx
Instalador De Comunicação Visual,Simetria Publicidade,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-instalador-comunicacao-visual-em-sao-paulo__9331728.aspx
Vendedor Externo De Publicidade - Cabo Frio - RJ (Presencial),"Cabo Frio - RJ, a 478,9 km de você.",Sem nota,Sem avaliações,Cabo Frio - RJ,Presencial,"R$ 2.000,00 a R$ 5.000,00 (Bruto mensal)",Link não encontrado
Corretor De Imóveis Autônomo,MRV & CO,7.702 avaliações,"4,5",Rio de Janeiro - RJ,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-corretor-imoveis-autonomo-em-rio-janeiro__9330790.aspx
OPERADOR DE LOJA CONVENIENCIA EXPRESS ZONA LESTE - XBT/XCL,CARREFOUR,"4,3",41.516 avaliações,São Paulo - SP,Presencial,"R$ 1.700,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-loja-conveniencia-express-zona-leste-xbtxcl-em-sao-paulo__9326301.aspx
Costureira,Tephiá Mindstyle,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.300,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-costureira-em-sao-paulo__9326354.aspx
Assistente Administrativo (Zona Leste),EMPREGGA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-administrativo-zona-leste-em-sao-paulo__9326448.aspx
Atendente De Restaurante,QUINTAL DO ZE,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.059,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendente-restaurante-em-sao-paulo__9326490.aspx
MECÂNICO DE MÁQUINAS DE DECORAÇÃO,DESAFIO Rh,"4,4",202 avaliações,São Bernardo do Campo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-mecanico-maquinas-decoracao-em-sao-paulo__9324802.aspx
Vendedor Externo - Vendedor De Ótica,ÓTICAS LUPAK,Sem nota,"4,5",Duque de Caxias - RJ,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-externo-vendedor-otica-em-rio-janeiro__9331176.aspx
Representante Comercial Autônomo,Instituto Educacional EJ Cursos,Sem nota,Sem avaliações,Osasco - SP,Presencial,"R$ 500,00 a R$ 5.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-representante-comercial-autonomo-em-sao-paulo__9326000.aspx
Alimentador De Linha De Produção,CAS TELECOMUNICACOES,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-alimentador-linha-producao-em-sao-paulo__9326444.aspx
Consultor De Negócios - Externo,MP,Sem nota,Sem avaliações,José Bonifácio - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-negocios-externo-em-sao-paulo__9325012.aspx
Executivo De Contas,ADECCO,"4,4",2.331 avaliações,São Paulo - SP,Presencial,"R$ 2.800,00 a R$ 3.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-executivo-contas-em-sao-paulo__9325289.aspx
Lavador De Carros,GSM NEW PARKING,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 a R$ 1.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-lavador-carros-em-sao-paulo__9324517.aspx
Vendedor Social Media- Segunda A Sexta,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-social-media-segunda-sexta-em-sao-paulo__9325559.aspx
Vendedor Externo | Guarulhos,NEO EMPREGOS,"4,0",54 avaliações,Osasco - SP,Presencial,"R$ 1.460,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-externo-guarulhos-em-sao-paulo__9324175.aspx
Operador De Loja,UnittáSul Consultoria e Gestão de Pessoas Ltda,Sem nota,Sem avaliações,Mogi das Cruzes - SP,Presencial,"R$ 1.300,00 a R$ 1.400,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-loja-em-sao-paulo__9144013.aspx
Ajudante De Carga,JAMEF ENCOMENDAS URGENTES,"4,5",1.304 avaliações,Ribeirão Preto - SP,Presencial,"R$ 1.500,00 a R$ 1.674,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-carga-em-sao-paulo__9326091.aspx
Técnico De Atendimento - Sem Experiência -Início Imediato (DR),GARCIA EMPREENDIMENTOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-tecnico-atendimento-experiencia-inicio-imediato-dr-em-sao-paulo__9325088.aspx
ADVOGADO PLENO,CASAMAX COMERCIAL,"4,0",137 avaliações,Suzano - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-advogado-pleno-em-sao-paulo__9325674.aspx
Título não encontrado,Nome da empresa não encontrado,Sem nota,Sem avaliações,Localização não encontrada,Modelo de trabalho não encontrado,Salário não encontrado,Link não encontrado
Mecânico De Refrigeração,Refrimatech Refrigeração e Climatização Ltda,Sem nota,Sem avaliações,Nova Iguaçu - RJ,Presencial,"R$ 2.000,00 a R$ 2.200,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-mecanico-refrigeracao-em-rio-janeiro__9330522.aspx
Auxiliar Administrativo - Guarulhos,RHEFERENCIA RH,Sem nota,Sem avaliações,Guarulhos - SP,Presencial,"R$ 1.500,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-administrativo-guarulhos-em-sao-paulo__9326337.aspx
PROMOTOR DE TRADE MARKETING,WORK ON,1.006 avaliações,"4,5",Rio de Janeiro - RJ,Presencial,"R$ 1.700,00 a R$ 1.750,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-trade-marketing-em-rio-janeiro__9330997.aspx
Porteiro - Lapa,*GRUPO PRO SECURITY*,"4,4",1.854 avaliações,São Paulo - SP,Presencial,"R$ 1.700,00 a R$ 1.704,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-porteiro-lapa-em-sao-paulo__9325040.aspx
SP | Consultor De Atendimento | SAC CARTÕES B2B BILÍNGUE INGLÊS,TELEPERFORMANCE,"4,4",37.557 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-sp-consultor-atendimento-sac-cartoes-b2b-bilingue-ingles-em-sao-paulo__9326045.aspx
Aux De Monitoramento,GRUPO ENGEFORT,"4,2",788 avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-aux-monitoramento-em-sao-paulo__9324405.aspx
00090/2024 - Consultor Pleno (Processos/BPM),FIESC,"4,5",298 avaliações,Todo Brasil,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-000902024-consultor-pleno-processosbpm-em-__9325269.aspx
SP | Consultor De Atendimento | SAC SOLUÇÕES BILÍNGUE | Inglês,TELEPERFORMANCE,"4,4",37.557 avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-sp-consultor-atendimento-sac-solucoes-bilingue-ingles-em-sao-paulo__9326074.aspx
Auxiliar De Serviços Gerais - Camareira,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-camareira-em-sao-paulo__9326597.aspx
Corretor De Imóveis,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 6.500,00 a R$ 20.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-corretor-imoveis-em-sao-paulo__9134938.aspx
Vendedor-SEM EXPERIENCIA(C),Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-sem-experienciac-em-sao-paulo__9325008.aspx
Atendente De Vendas,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Bernardo do Campo - SP,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-atendente-vendas-em-sao-paulo__9183643.aspx
Vendedor Interno,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 2.272,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-interno-em-sao-paulo__9325887.aspx
Estagiário De Vendas,INSECTCONTROL,Sem nota,Sem avaliações,Rio de Janeiro - RJ,Presencial,"R$ 1.000,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagiario-vendas-em-rio-janeiro__9330414.aspx
Consultor Imobiliário - Cury Construtora - Porto Maravilha RJ,J H L CORRETORA DE IMOVEIS,Sem nota,Sem avaliações,Rio de Janeiro - RJ,Presencial,"R$ 4.000,00 a R$ 8.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-imobiliario-cury-construtora-porto-maravilha-rj-em-rio-janeiro__9331038.aspx
Auxiliar De Produção,MOBENSANI,"4,2",15 avaliações,Guarulhos - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-producao-em-sao-paulo__9324421.aspx
Jardineiro,ADECCO,"4,4",2.331 avaliações,Campinas - SP,Presencial,"R$ 1.600,00 a R$ 1.717,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-jardineiro-em-sao-paulo__9326022.aspx
Consultor Comercial Externo- Hunter - Guará - SP,MANPOWER STAFFING. (Matriz),"4,4",3.890 avaliações,Guará - SP,Presencial,"R$ 2.312,00 a R$ 5.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-comercial-externo-hunter-guara-sp-em-sao-paulo__9326402.aspx
Auxiliar De Vendas De Loja De Shopping - Iguatemi SP,LUANDRE SERVICOS TEMPORARIOS LTDA. (C-I),"4,4",4.474 avaliações,São Paulo - SP,Presencial,"R$ 1.700,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-vendas-loja-shopping-iguatemi-sp-em-sao-paulo__9331518.aspx
