Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
Consultor De Vendas,AUTO ESCOLA NEW STAR,Sem nota,Sem avaliações,Itapevi - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-vendas-em-sao-paulo__9324734.aspx
Controlador De Acesso- Zona Sul,Grupo GPS,"4,2",9.026 avaliações,São Paulo - SP,Presencial,"R$ 1.702,00 a R$ 1.703,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-controlador-acesso-zona-sul-em-sao-paulo__9326171.aspx
Estágio Em Secretaria Escolar,ASSOCIACAO SEQUENCIAL DE ENSINO SUPERIOR,"4,3",490 avaliações,São Paulo - SP,Presencial,"R$ 1.053,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagio-secretaria-escolar-em-sao-paulo__9325632.aspx
Tecnico Em Copiadoras E Impressoras,JD LOCACAO E COMERCIO DE EQUIPAMENTOS,Sem nota,Sem avaliações,Presidente Prudente - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-tecnico-copiadoras-impressoras-em-sao-paulo__9325840.aspx
Auxiliar De Produção Tambore,GARRA RH,"4,1",438 avaliações,São Paulo - SP,Presencial,"R$ 1.900,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-producao-tambore-em-sao-paulo__9326283.aspx
Recuperador De Credito Jr - Barra Funda,INTERVALOR COBRANCA MATRIZ,"4,1",4.168 avaliações,São Paulo - SP,Presencial,"R$ 1.324,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-recuperador-credito-jr-barra-funda-em-sao-paulo__9324027.aspx
Jovem Aprendiz - Administrativo,J A REZENDE,"4,3",180 avaliações,São Paulo - SP,Presencial,"R$ 990,00 a R$ 995,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-jovem-aprendiz-administrativo-em-sao-paulo__9326179.aspx
Case Managment,SERVICES ASSESSORIA E COBRANCAS LTDA.,"3,8",4.467 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-case-managment-em-sao-paulo__9325572.aspx
Ajudante De Carga E Descarga,MAZZINI,"4,4",3.141 avaliações,Paulínia - SP,Presencial,"R$ 1.550,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-carga-descarga-em-sao-paulo__9325560.aspx
Auxiliar De Limpeza - Residir Na Zona Sul Em SP,GRUPO HAGANA,"4,3",6.228 avaliações,São Paulo - SP,Presencial,"R$ 1.480,00 a R$ 1.481,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-limpeza-residir-na-zona-sul-sp-em-sao-paulo__9324536.aspx
Promotor Lider,WORK ON,"4,5",1.006 avaliações,Diadema - SP,Presencial,"R$ 1.400,00 a R$ 1.600,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-lider-em-sao-paulo__9325552.aspx
Recepcionista,SOULAN,"4,4",183 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-recepcionista-em-sao-paulo__9325845.aspx
Assistente De Vendas - Clínica De Emagrecimento Saudável,DCN SOLUCOES EM RH,Sem nota,Sem avaliações,Campinas - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-vendas-clinica-emagrecimento-saudavel-em-sao-paulo__9325975.aspx
Assistente Financeiro,MAIORH,"4,6",8 avaliações,Jacareí - SP,Presencial,"R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-financeiro-em-sao-paulo__9325785.aspx
Repositor - De Supermercado,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.300,00 a R$ 1.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-repositor-supermercado-em-sao-paulo__9326282.aspx
SECRETÁRIA ADMINISTRATIVA DE EVENTOS - Bilíngue,Enfok,303 avaliações,"4,3",Todo Brasil,Presencial,"R$ 4.000,00 a R$ 4.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-secretaria-administrativa-eventos-bilingue-em-__9330649.aspx
Analista De Sinistros,GRUPO CARRERA,"4,3",813 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-analista-sinistros-em-sao-paulo__9331693.aspx
Analista Contabil Sr. Em Itu - SP,MANPOWER STAFFING. (Matriz),"4,4",3.890 avaliações,Itu - SP,Home office,"R$ 6.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-contabil-sr-itu-sp-em-sao-paulo__9324068.aspx
Auxiliar Logístico - JUNDIAI,GLOBAL EMPREGOS. (S-ANDR),"4,4",2.653 avaliações,Jundiaí - SP,Presencial,"R$ 1.553,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistico-jundiai-em-sao-paulo__9325792.aspx
ANALISTA DE CX,OMNILINK,"4,5",17 avaliações,Barueri - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-analista-cx-em-sao-paulo__9324415.aspx
Assistente De Expedição - Penha Ter Fácil Acesso,B.E EMPREGOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.200,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-expedicao-penha-ter-facil-acesso-em-sao-paulo__9331775.aspx
Operador De Supermercado - Caixa,SUPERMERCADOS NAGUMO,"4,4",1.917 avaliações,Atibaia - SP,Presencial,"R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-supermercado-caixa-em-sao-paulo__9325893.aspx
Mecânico De Refrigeração - Volante,"São Paulo - SP, a 7,1 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
AUXILIAR LOGÍSTICO - JARAGUÁ / PIRITUBA / PERUS,Blitz Recursos Humanos,"3,7",535 avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 1.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistico-jaragua-pirituba-perus-em-sao-paulo__9015635.aspx
Vendedor - Zona Sul,ESTEL RECURSOS HUMANOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-zona-sul-em-sao-paulo__9325965.aspx
Ajudante Geral/Cajamar,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Cajamar - SP,Presencial,"R$ 1.371,00 a R$ 1.372,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-geralcajamar-em-sao-paulo__9323854.aspx
Ajudante De Expedição - Sorocaba,BIMBO BRASIL LTDA,"4,4",4.131 avaliações,Sorocaba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-ajudante-expedicao-sorocaba-em-sao-paulo__9326516.aspx
Telemarketing Ativo | Crédito Consignado | Seg A Sex,GRUPO MAIS VALOR,"2,0",1.594 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-telemarketing-ativo-credito-consignado-seg-sex-em-sao-paulo__9325904.aspx
Ajudante De Logística,CAS TELECOMUNICACOES,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-logistica-em-sao-paulo__9326440.aspx
Gerente De Loja De Shopping,TNG,"4,2",1.713 avaliações,Botucatu - SP,Presencial,"R$ 4.000,00 a R$ 8.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-gerente-loja-shopping-em-sao-paulo__9324544.aspx
OFICIAL DE MANUTENÇÃO PREDIAL CIVIL IB,"IMC SASTE-CONSTRUCOES, SERVICOS E COMERCIO","4,4",1.068 avaliações,Osasco - SP,Presencial,"R$ 2.102,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-oficial-manutencao-predial-civil-ib-em-sao-paulo__9326483.aspx
